colour	x	y	group	key	clickSelects	showSelected1	PANEL
#666666	17	24.4314035087719	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	18	24.1781034482759	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	19	23.9156140350877	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	20	23.333275862069	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	21	23.8124561403509	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	22	23.9584482758621	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	23	23.9757894736842	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	0	22.97	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	1	22.9108620689655	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	2	22.3854385964912	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	3	22.4039655172414	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	4	22.48	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	5	22.48	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	6	22.1624561403509	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	7	21.5756896551724	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	8	21.4575438596491	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	9	22.2856896551724	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	10	22.720701754386	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	11	23.0629310344828	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	12	23.3740350877193	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	13	23.4431034482759	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	14	23.2364912280702	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	15	23.4346551724138	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	16	23.3138596491228	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	17	22.9193103448276	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	18	22.1884210526316	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	19	21.4424137931035	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	20	21.1317543859649	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	21	21.9346551724138	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	22	22.0243859649123	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	23	22.2860344827586	10	Friday 02 Sep 2016	Friday 02 Sep 2016	Friday 02 Sep 2016	1
#666666	0	23.7134482758621	11	Friday 03 Feb 2017	Friday 03 Feb 2017	Friday 03 Feb 2017	1
#666666	1	23.95	11	Friday 03 Feb 2017	Friday 03 Feb 2017	Friday 03 Feb 2017	1
#666666	2	23.95	11	Friday 03 Feb 2017	Friday 03 Feb 2017	Friday 03 Feb 2017	1
#666666	3	23.95	11	Friday 03 Feb 2017	Friday 03 Feb 2017	Friday 03 Feb 2017	1
#666666	4	23.95	11	Friday 03 Feb 2017	Friday 03 Feb 2017	Friday 03 Feb 2017	1
#666666	5	23.95	11	Friday 03 Feb 2017	Friday 03 Feb 2017	Friday 03 Feb 2017	1
