colour	x	y	showSelected1	PANEL	group
#8DD3C7	1491584400	3.33333333333333	Wunderground	2	1
#8DD3C7	1491670800	9.88888888888889	Wunderground	2	1
#8DD3C7	1491757200	17.6944444444444	Wunderground	2	1
#8DD3C7	1491843600	6.27777777777778	Wunderground	2	1
#8DD3C7	1491930000	6.27777777777778	Wunderground	2	1
#8DD3C7	1492016400	8.5	Wunderground	2	1
#8DD3C7	1492102800	11.0555555555556	Wunderground	2	1
#8DD3C7	1492189200	11.3888888888889	Wunderground	2	1
#8DD3C7	1492275600	13.3333333333333	Wunderground	2	1
#8DD3C7	1492362000	7.25	Wunderground	2	1
#8DD3C7	1492448400	5.63888888888889	Wunderground	2	1
#8DD3C7	1492534800	7.25	Wunderground	2	1
#8DD3C7	1492621200	8.11111111111111	Wunderground	2	1
#8DD3C7	1492707600	8.77777777777778	Wunderground	2	1
#8DD3C7	1492794000	8	Wunderground	2	1
#8DD3C7	1492880400	10.7777777777778	Wunderground	2	1
#8DD3C7	1492966800	5.55555555555556	Wunderground	2	1
#8DD3C7	1493053200	9.19444444444444	Wunderground	2	1
#8DD3C7	1493139600	10.6111111111111	Wunderground	2	1
#8DD3C7	1493226000	13.8888888888889	Wunderground	2	1
#8DD3C7	1493312400	15.7777777777778	Wunderground	2	1
#8DD3C7	1493398800	15.5555555555556	Wunderground	2	1
#8DD3C7	1493485200	5.55555555555556	Wunderground	2	1
#8DD3C7	1493571600	7.94444444444445	Wunderground	2	1
#8DD3C7	1493658000	12.9444444444444	Wunderground	2	1
#8DD3C7	1493744400	8.88888888888889	Wunderground	2	1
