colour	x	y	key	group	clickSelects	showSelected1	PANEL
#8DD3C7	10	-16.1111111111111	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	11	-15.2777777777778	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	12	-14.6111111111111	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	13	-14.4444444444444	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	13	-14.2777777777778	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	15	-14.3888888888889	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	16	-14.4444444444444	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	16	-14.6111111111111	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	17	-15	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	18	-15.3888888888889	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	19	-16.1111111111111	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	20	-16.2222222222222	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	22	-17.2222222222222	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	22	-17	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	23	-17.1111111111111	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	0	11.8888888888889	Friday 02 Jun 2017	8	Friday 02 Jun 2017	Friday 02 Jun 2017	2
#8DD3C7	1	11.7777777777778	Friday 02 Jun 2017	8	Friday 02 Jun 2017	Friday 02 Jun 2017	2
#8DD3C7	2	11.1111111111111	Friday 02 Jun 2017	8	Friday 02 Jun 2017	Friday 02 Jun 2017	2
