x	y	label	key	clickSelects	showSelected1	PANEL	group
23	-21.5	Saturday 06 Jan 2018	Saturday 06 Jan 2018	Saturday 06 Jan 2018	Saturday 06 Jan 2018	2	270
23	-11.8888888888889	Sunday 07 Jan 2018	Sunday 07 Jan 2018	Sunday 07 Jan 2018	Sunday 07 Jan 2018	2	397
23	-1.38888888888889	Monday 08 Jan 2018	Monday 08 Jan 2018	Monday 08 Jan 2018	Monday 08 Jan 2018	2	155
23	-6.72222222222222	Tuesday 09 Jan 2018	Tuesday 09 Jan 2018	Tuesday 09 Jan 2018	Tuesday 09 Jan 2018	2	651
23	-0.222222222222221	Wednesday 10 Jan 2018	Wednesday 10 Jan 2018	Wednesday 10 Jan 2018	Wednesday 10 Jan 2018	2	779
23	6.61111111111111	Thursday 11 Jan 2018	Thursday 11 Jan 2018	Thursday 11 Jan 2018	Thursday 11 Jan 2018	2	537
23	-6.11111111111111	Friday 12 Jan 2018	Friday 12 Jan 2018	Friday 12 Jan 2018	Friday 12 Jan 2018	2	49
23	-17.7222222222222	Saturday 13 Jan 2018	Saturday 13 Jan 2018	Saturday 13 Jan 2018	Saturday 13 Jan 2018	2	299
23	-19.1111111111111	Sunday 14 Jan 2018	Sunday 14 Jan 2018	Sunday 14 Jan 2018	Sunday 14 Jan 2018	2	426
23	-15.5	Monday 15 Jan 2018	Monday 15 Jan 2018	Monday 15 Jan 2018	Monday 15 Jan 2018	2	184
23	-11	Tuesday 16 Jan 2018	Tuesday 16 Jan 2018	Tuesday 16 Jan 2018	Tuesday 16 Jan 2018	2	680
23	-5.88888888888889	Wednesday 17 Jan 2018	Wednesday 17 Jan 2018	Wednesday 17 Jan 2018	Wednesday 17 Jan 2018	2	808
23	-4.5	Thursday 18 Jan 2018	Thursday 18 Jan 2018	Thursday 18 Jan 2018	Thursday 18 Jan 2018	2	566
23	-1.11111111111111	Friday 19 Jan 2018	Friday 19 Jan 2018	Friday 19 Jan 2018	Friday 19 Jan 2018	2	78
23	2.38888888888889	Saturday 20 Jan 2018	Saturday 20 Jan 2018	Saturday 20 Jan 2018	Saturday 20 Jan 2018	2	328
23	-4.77777777777778	Sunday 21 Jan 2018	Sunday 21 Jan 2018	Sunday 21 Jan 2018	Sunday 21 Jan 2018	2	455
23	-6	Monday 22 Jan 2018	Monday 22 Jan 2018	Monday 22 Jan 2018	Monday 22 Jan 2018	2	213
22	2.22222222222222	Tuesday 23 Jan 2018	Tuesday 23 Jan 2018	Tuesday 23 Jan 2018	Tuesday 23 Jan 2018	2	709
23	-12.3888888888889	Wednesday 24 Jan 2018	Wednesday 24 Jan 2018	Wednesday 24 Jan 2018	Wednesday 24 Jan 2018	2	837
23	-10.5	Thursday 25 Jan 2018	Thursday 25 Jan 2018	Thursday 25 Jan 2018	Thursday 25 Jan 2018	2	594
22	-11.6666666666667	Friday 26 Jan 2018	Friday 26 Jan 2018	Friday 26 Jan 2018	Friday 26 Jan 2018	2	106
23	5.22222222222222	Saturday 27 Jan 2018	Saturday 27 Jan 2018	Saturday 27 Jan 2018	Saturday 27 Jan 2018	2	356
23	-3.88888888888889	Sunday 28 Jan 2018	Sunday 28 Jan 2018	Sunday 28 Jan 2018	Sunday 28 Jan 2018	2	483
23	-10.2222222222222	Monday 29 Jan 2018	Monday 29 Jan 2018	Monday 29 Jan 2018	Monday 29 Jan 2018	2	241
23	-10.2222222222222	Tuesday 30 Jan 2018	Tuesday 30 Jan 2018	Tuesday 30 Jan 2018	Tuesday 30 Jan 2018	2	736
22	-5.77777777777778	Wednesday 31 Jan 2018	Wednesday 31 Jan 2018	Wednesday 31 Jan 2018	Wednesday 31 Jan 2018	2	863
22	-2.27777777777778	Thursday 01 Feb 2018	Thursday 01 Feb 2018	Thursday 01 Feb 2018	Thursday 01 Feb 2018	2	495
23	-17.1111111111111	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	Friday 02 Feb 2018	2	7
22	-6.66666666666667	Saturday 03 Feb 2018	Saturday 03 Feb 2018	Saturday 03 Feb 2018	Saturday 03 Feb 2018	2	257
22	-0.222222222222221	Sunday 04 Feb 2018	Sunday 04 Feb 2018	Sunday 04 Feb 2018	Sunday 04 Feb 2018	2	384
23	-9.11111111111111	Monday 05 Feb 2018	Monday 05 Feb 2018	Monday 05 Feb 2018	Monday 05 Feb 2018	2	141
23	-7.77777777777778	Tuesday 06 Feb 2018	Tuesday 06 Feb 2018	Tuesday 06 Feb 2018	Tuesday 06 Feb 2018	2	637
22	-9.88888888888889	Wednesday 07 Feb 2018	Wednesday 07 Feb 2018	Wednesday 07 Feb 2018	Wednesday 07 Feb 2018	2	765
22	-7.61111111111111	Thursday 08 Feb 2018	Thursday 08 Feb 2018	Thursday 08 Feb 2018	Thursday 08 Feb 2018	2	523
22	-6.11111111111111	Friday 09 Feb 2018	Friday 09 Feb 2018	Friday 09 Feb 2018	Friday 09 Feb 2018	2	35
23	-4.5	Saturday 10 Feb 2018	Saturday 10 Feb 2018	Saturday 10 Feb 2018	Saturday 10 Feb 2018	2	285
23	0.499999999999999	Sunday 11 Feb 2018	Sunday 11 Feb 2018	Sunday 11 Feb 2018	Sunday 11 Feb 2018	2	412
